Customer_ID,Gender,Age,Country,State,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Payment_Method,Purchase_Date,Customer_Rating
30,,51.0,India,Karnataka,Clothing,T-shirt,3.0,1211.12,3633.3599999999997,UPI,2024-11-12,1.0
31,Female,,USA,Texas,Clothing,T-shirt,2.0,1510.53,3021.06,UPI,2025-05-02,2.0
32,Female,45.0,Australia,NSW,Electronics,TV,,974.97,,UPI,2025-01-28,1.0
33,,,Canada,Ontario,Books,Novel,1.0,1448.84,1448.84,Cash,2024-07-10,2.0
34,,,USA,NY,Books,Novel,3.0,523.65,1570.9499999999998,Cash,2025-02-25,2.0
35,,59.0,Canada,Ontario,Electronics,TV,,412.9,,Cash,2025-04-17,1.0
36,Male,,Germany,Berlin,Clothing,T-shirt,,968.33,,Card,2025-02-28,2.0
37,,,India,Telangana,Books,Novel,1.0,1213.77,1213.77,UPI,2024-10-02,3.0
38,Male,,USA,NY,Electronics,Phone,,690.21,,Cash,2024-12-11,5.0
39,Male,,Canada,Ontario,Books,Novel,2.0,1075.17,2150.34,Card,2024-09-11,2.0
40,Female,29.0,India,Karnataka,Electronics,TV,,167.24,,Card,2025-01-22,5.0
41,Male,,Germany,Berlin,Books,Novel,3.0,1582.47,4747.41,Cash,2025-03-18,3.0
42,Male,32.0,Germany,Berlin,Electronics,Phone,1.0,308.35,308.35,UPI,2025-03-31,1.0
43,Male,48.0,USA,Texas,Books,Novel,2.0,405.25,810.5,Card,2024-10-22,2.0
44,,,Canada,Ontario,Clothing,T-shirt,1.0,369.96,369.96,UPI,2025-06-15,5.0
45,,,Australia,NSW,Books,Novel,,1327.31,,Cash,2025-02-18,
46,Male,,India,Telangana,Books,Novel,3.0,1063.26,3189.7799999999997,Cash,2024-12-16,
47,,,Australia,NSW,Clothing,T-shirt,,1885.98,,Cash,2025-03-24,5.0
48,Male,25.0,USA,Texas,Books,Novel,1.0,777.49,777.49,Card,2024-12-23,2.0
49,,51.0,USA,NY,Books,Novel,2.0,516.36,1032.72,UPI,2024-09-06,3.0
50,Male,48.0,USA,Texas,Books,Novel,,1114.87,,Card,2024-11-06,5.0
51,Female,,Germany,Berlin,Clothing,T-shirt,1.0,1389.55,1389.55,Cash,2025-01-08,2.0
52,Male,,Canada,Ontario,Clothing,T-shirt,,150.82,,Cash,2025-04-04,2.0
53,Male,,Canada,Ontario,Books,Novel,3.0,313.7,941.0999999999999,Card,2024-10-21,2.0
54,Female,18.0,Canada,Ontario,Clothing,T-shirt,2.0,1788.77,3577.54,UPI,2024-09-19,5.0
55,Female,,Germany,Berlin,Clothing,T-shirt,3.0,1556.52,4669.5599999999995,Cash,2025-03-30,1.0
56,Female,,Germany,Berlin,Books,Novel,3.0,1622.91,4868.7300000000005,Cash,2025-03-01,4.0
57,Female,42.0,India,Karnataka,Clothing,T-shirt,,1747.47,,UPI,2025-01-25,3.0
58,Female,,USA,NY,Clothing,T-shirt,,1363.6,,UPI,2024-09-27,5.0
59,Male,,Australia,NSW,Electronics,TV,,1898.31,,UPI,2024-07-28,4.0
60,Male,47.0,Australia,NSW,Books,Novel,1.0,647.71,647.71,Cash,2024-06-27,5.0
61,,,Germany,Berlin,Clothing,T-shirt,3.0,1998.65,5995.950000000001,Card,2025-02-26,2.0
62,Male,,Canada,Ontario,Books,Novel,,671.57,,Cash,2024-06-20,3.0
63,Female,,USA,NY,Clothing,T-shirt,1.0,538.95,538.95,UPI,2025-03-25,
64,,40.0,Australia,NSW,Electronics,TV,1.0,1963.05,1963.05,Cash,2024-06-23,3.0
65,Female,27.0,USA,NY,Clothing,T-shirt,1.0,1802.65,1802.65,UPI,2025-04-10,5.0
66,Female,59.0,USA,NY,Clothing,T-shirt,3.0,724.28,2172.84,Cash,2024-07-18,2.0
67,Female,,Germany,Berlin,Clothing,T-shirt,2.0,1091.57,2183.14,UPI,2025-05-20,3.0
68,Female,,Australia,NSW,Electronics,TV,,204.64,,UPI,2024-10-06,
69,,,Canada,Ontario,Clothing,T-shirt,,1240.4,,Cash,2025-02-17,5.0
70,Male,,Canada,Ontario,Books,Novel,,705.72,,Card,2024-09-05,
71,Male,32.0,Australia,NSW,Books,Novel,,1548.52,,Card,2024-12-23,2.0
72,Female,41.0,Australia,NSW,Electronics,Phone,1.0,1011.4,1011.4,Card,2025-02-25,1.0
73,,33.0,Germany,Berlin,Electronics,Phone,1.0,564.01,564.01,Card,2024-07-02,5.0
74,Male,,Australia,NSW,Electronics,Phone,1.0,1636.63,1636.63,UPI,2024-11-04,3.0
75,Female,,Germany,Berlin,Books,Novel,2.0,1547.01,3094.02,UPI,2024-07-31,4.0
76,Female,25.0,Germany,Berlin,Books,Novel,2.0,1452.49,2904.98,UPI,2024-10-23,2.0
77,Female,,USA,NY,Clothing,T-shirt,3.0,322.52,967.56,UPI,2024-07-26,3.0
78,Male,46.0,Canada,Ontario,Books,Novel,1.0,132.02,132.02,Card,2024-08-23,5.0
79,Male,,India,Telangana,Books,Novel,3.0,1763.96,5291.88,Cash,2024-08-07,3.0
80,,,Germany,Berlin,Books,Novel,,420.86,,Card,2024-06-26,1.0
81,Female,32.0,Australia,NSW,Electronics,TV,2.0,780.91,1561.82,Card,2025-06-13,3.0
82,Male,42.0,Canada,Ontario,Electronics,TV,1.0,1408.33,1408.33,UPI,2024-11-22,2.0
83,,44.0,USA,NY,Clothing,T-shirt,3.0,280.17,840.51,UPI,2024-07-15,2.0
84,,59.0,Australia,NSW,Electronics,TV,2.0,1902.75,3805.5,Card,2025-06-03,2.0
85,Male,38.0,Germany,Berlin,Clothing,T-shirt,1.0,1478.67,1478.67,UPI,2025-06-09,1.0
86,Male,,USA,Texas,Books,Novel,3.0,332.09,996.27,UPI,2024-09-06,4.0
87,Male,37.0,Canada,Ontario,Clothing,T-shirt,1.0,121.08,121.08,Cash,2025-04-23,5.0
88,Female,50.0,Germany,Berlin,Books,Novel,2.0,248.06,496.12,Cash,2024-07-12,3.0
89,,41.0,USA,Texas,Clothing,T-shirt,2.0,480.34,960.68,UPI,2024-06-16,1.0
90,Female,,Germany,Berlin,Clothing,T-shirt,1.0,1335.99,1335.99,Cash,2025-06-12,3.0
91,,,USA,NY,Clothing,T-shirt,1.0,1305.79,1305.79,UPI,2025-01-11,5.0
92,,27.0,Germany,Berlin,Clothing,T-shirt,1.0,967.78,967.78,Cash,2025-03-06,3.0
93,Female,,Canada,Ontario,Books,Novel,2.0,678.78,1357.56,Card,2024-10-01,
94,Male,40.0,Australia,NSW,Books,Novel,3.0,278.12,834.36,Cash,2024-12-13,5.0
95,Male,40.0,Australia,NSW,Books,Novel,1.0,1464.66,1464.66,Cash,2024-11-14,3.0
96,Female,,India,Karnataka,Clothing,T-shirt,2.0,1143.92,2287.84,Card,2025-02-03,
97,Male,,Germany,Berlin,Books,Novel,3.0,1168.84,3506.5199999999995,Cash,2025-06-06,4.0
98,Male,36.0,Canada,Ontario,Clothing,T-shirt,1.0,309.16,309.16,Card,2024-12-14,1.0
99,,,Australia,NSW,Electronics,Phone,3.0,194.34,583.02,UPI,2024-12-11,2.0
100,Female,48.0,Germany,Berlin,Books,Novel,1.0,1548.93,1548.93,Card,2024-09-15,2.0
101,,27.0,Germany,Berlin,Electronics,Phone,3.0,492.92,1478.76,Card,2025-03-18,
102,Female,46.0,Australia,NSW,Electronics,Phone,1.0,1248.67,1248.67,Cash,2024-12-31,2.0
103,,28.0,Germany,Berlin,Clothing,T-shirt,3.0,1701.06,5103.18,Cash,2024-08-16,5.0
104,,43.0,USA,NY,Books,Novel,,1064.87,,Cash,2024-09-22,4.0
105,,58.0,Germany,Berlin,Books,Novel,1.0,799.04,799.04,UPI,2025-01-07,5.0
106,,25.0,Canada,Ontario,Books,Novel,2.0,1250.0,2500.0,UPI,2025-01-26,5.0
107,,22.0,India,Karnataka,Books,Novel,,1497.58,,UPI,2025-01-01,4.0
108,Female,,Canada,Ontario,Books,Novel,2.0,1367.96,2735.92,UPI,2025-01-22,3.0
109,,21.0,Germany,Berlin,Books,Novel,,1108.47,,UPI,2024-07-28,1.0
110,Male,24.0,Germany,Berlin,Books,Novel,1.0,1793.25,1793.25,Card,2024-10-31,4.0
111,,43.0,India,Karnataka,Electronics,TV,,976.78,,Card,2024-09-14,1.0
112,Female,,Australia,NSW,Books,Novel,2.0,874.86,1749.72,UPI,2024-08-20,1.0
113,,,India,Karnataka,Books,Novel,3.0,1461.21,4383.63,UPI,2024-07-10,5.0
114,Male,,Canada,Ontario,Electronics,TV,,1594.18,,Card,2025-04-29,5.0
115,Male,54.0,Canada,Ontario,Clothing,T-shirt,,1865.12,,UPI,2025-03-10,
116,,25.0,USA,Texas,Clothing,T-shirt,1.0,1649.75,1649.75,Cash,2025-02-07,4.0
117,Female,29.0,Germany,Berlin,Electronics,TV,2.0,1298.48,2596.96,Cash,2025-06-14,5.0
118,Female,,USA,Texas,Books,Novel,2.0,280.76,561.52,Card,2025-04-16,3.0
119,Male,,Canada,Ontario,Clothing,T-shirt,,1109.58,,Card,2024-08-08,4.0
120,Female,43.0,India,Karnataka,Electronics,TV,2.0,610.82,1221.64,Card,2025-04-27,3.0
121,Male,39.0,Canada,Ontario,Clothing,T-shirt,,1585.05,,Cash,2024-12-18,3.0
122,Female,,USA,NY,Books,Novel,1.0,1067.27,1067.27,UPI,2025-05-30,3.0
123,,29.0,Canada,Ontario,Electronics,TV,1.0,1492.56,1492.56,Card,2025-06-08,
124,Male,19.0,India,Karnataka,Books,Novel,2.0,394.99,789.98,Card,2024-08-03,1.0
125,,29.0,USA,NY,Clothing,T-shirt,2.0,1487.59,2975.18,Cash,2024-08-27,2.0
126,,,India,Telangana,Clothing,T-shirt,3.0,727.38,2182.14,Cash,2024-10-08,4.0
127,Female,,Canada,Ontario,Electronics,Phone,3.0,738.61,2215.83,Cash,2025-04-12,2.0
128,Female,48.0,USA,Texas,Clothing,T-shirt,,170.39,,UPI,2025-04-11,4.0
129,,,India,Karnataka,Electronics,TV,3.0,426.6,1279.8000000000002,Cash,2025-04-18,
130,Male,,USA,NY,Books,Novel,3.0,677.26,2031.78,Cash,2024-10-24,1.0
131,Male,21.0,Canada,Ontario,Books,Novel,1.0,614.04,614.04,UPI,2024-11-09,1.0
132,,20.0,Germany,Berlin,Electronics,TV,1.0,1557.5,1557.5,Card,2025-04-11,4.0
133,Male,39.0,India,Karnataka,Books,Novel,2.0,1459.48,2918.96,Card,2025-01-18,2.0
134,Male,,USA,NY,Electronics,Phone,,1767.43,,Card,2024-10-19,3.0
135,Male,27.0,Canada,Ontario,Electronics,TV,1.0,1790.89,1790.89,Cash,2025-01-09,
136,,,USA,Texas,Electronics,Phone,,255.81,,Cash,2024-08-22,1.0
137,Female,,Australia,NSW,Books,Novel,3.0,1905.55,5716.65,UPI,2025-02-26,3.0
138,Male,41.0,Australia,NSW,Electronics,Phone,3.0,275.97,827.9100000000001,Cash,2024-08-29,3.0
139,,46.0,USA,Texas,Books,Novel,3.0,891.9,2675.7,Card,2025-01-30,
140,,38.0,Germany,Berlin,Books,Novel,2.0,725.94,1451.88,Card,2024-12-04,
141,Female,47.0,Germany,Berlin,Electronics,Phone,2.0,131.6,263.2,Cash,2024-10-08,
142,Male,,Germany,Berlin,Electronics,Phone,2.0,376.48,752.96,Cash,2025-05-03,4.0
143,Female,59.0,USA,NY,Clothing,T-shirt,,1035.4,,Cash,2025-02-17,
144,Female,,Australia,NSW,Books,Novel,1.0,1808.18,1808.18,UPI,2024-07-06,3.0
145,Male,,Australia,NSW,Books,Novel,1.0,1904.53,1904.53,UPI,2024-10-18,5.0
146,Male,51.0,USA,NY,Electronics,TV,3.0,1933.48,5800.4400000000005,Cash,2024-10-06,5.0
147,Male,,Germany,Berlin,Electronics,Phone,2.0,1510.67,3021.34,Card,2025-01-08,2.0
148,Female,56.0,USA,Texas,Books,Novel,3.0,1153.11,3459.33,Card,2025-05-29,3.0
149,Female,20.0,India,Telangana,Electronics,Phone,3.0,760.92,2282.7599999999998,UPI,2024-07-28,5.0
150,,23.0,Germany,Berlin,Books,Novel,2.0,1068.28,2136.56,UPI,2025-03-11,5.0
151,Male,,Germany,Berlin,Clothing,T-shirt,2.0,356.7,713.4,Card,2025-02-08,1.0
152,Male,38.0,USA,NY,Clothing,T-shirt,,194.62,,Card,2024-08-07,4.0
153,Male,,India,Karnataka,Books,Novel,1.0,797.63,797.63,Cash,2024-09-29,4.0
154,,34.0,Germany,Berlin,Electronics,TV,,826.11,,UPI,2024-11-09,5.0
155,,35.0,Germany,Berlin,Electronics,Phone,2.0,854.45,1708.9,Cash,2025-03-12,1.0
156,Female,56.0,India,Telangana,Clothing,T-shirt,,1968.16,,Cash,2025-05-11,
157,,,Canada,Ontario,Books,Novel,2.0,1444.73,2889.46,UPI,2025-04-05,5.0
158,Male,,India,Telangana,Books,Novel,,1730.32,,Cash,2024-12-02,1.0
159,Female,34.0,Australia,NSW,Books,Novel,1.0,1355.42,1355.42,UPI,2024-08-26,1.0
160,,,Australia,NSW,Books,Novel,1.0,410.14,410.14,Card,2025-02-24,
161,Female,,India,Karnataka,Clothing,T-shirt,2.0,1452.68,2905.36,Card,2024-10-06,4.0
162,,32.0,USA,Texas,Clothing,T-shirt,3.0,1691.88,5075.64,Card,2025-01-13,4.0
163,Male,46.0,Australia,NSW,Electronics,TV,1.0,591.82,591.82,Cash,2025-01-08,3.0
164,Male,50.0,USA,NY,Clothing,T-shirt,3.0,791.77,2375.31,Card,2025-02-23,5.0
165,Female,,Australia,NSW,Clothing,T-shirt,,1722.65,,UPI,2025-05-11,2.0
166,,,Canada,Ontario,Electronics,TV,3.0,427.84,1283.52,Card,2025-01-12,
167,Male,,USA,NY,Books,Novel,2.0,1292.77,2585.54,Cash,2024-07-02,1.0
168,,,Canada,Ontario,Books,Novel,2.0,880.76,1761.52,UPI,2024-10-30,5.0
169,Female,60.0,USA,Texas,Clothing,T-shirt,,1594.88,,Cash,2025-06-09,2.0
170,Male,45.0,USA,NY,Books,Novel,2.0,1985.87,3971.74,Card,2025-03-19,5.0
171,,25.0,Germany,Berlin,Books,Novel,2.0,1588.12,3176.24,Cash,2024-11-18,4.0
172,Female,25.0,USA,Texas,Clothing,T-shirt,1.0,425.57,425.57,UPI,2024-09-09,1.0
173,Male,56.0,Germany,Berlin,Electronics,Phone,2.0,910.79,1821.58,UPI,2024-08-27,1.0
174,Female,,USA,Texas,Books,Novel,3.0,491.94,1475.82,Cash,2024-07-01,3.0
175,,54.0,USA,NY,Electronics,Phone,3.0,1773.99,5321.97,Cash,2024-10-30,2.0
176,Male,35.0,Canada,Ontario,Books,Novel,,1166.2,,Card,2025-03-22,3.0
177,Male,55.0,USA,Texas,Clothing,T-shirt,1.0,1542.38,1542.38,Cash,2025-04-22,4.0
178,Male,53.0,USA,NY,Books,Novel,1.0,534.68,534.68,UPI,2024-08-07,4.0
179,Female,60.0,USA,NY,Books,Novel,,336.56,,UPI,2025-06-07,3.0
180,,40.0,Germany,Berlin,Electronics,Phone,2.0,301.44,602.88,UPI,2024-09-18,4.0
181,Female,,Australia,NSW,Electronics,TV,2.0,1048.88,2097.76,Card,2025-01-21,3.0
182,,31.0,USA,Texas,Clothing,T-shirt,2.0,802.57,1605.14,Card,2025-02-24,5.0
183,Male,,Germany,Berlin,Electronics,TV,3.0,1555.0,4665.0,Cash,2024-10-20,1.0
184,,,Australia,NSW,Books,Novel,3.0,1948.22,5844.66,Card,2024-06-23,4.0
185,Male,,USA,NY,Clothing,T-shirt,2.0,403.04,806.08,Cash,2024-07-16,4.0
186,Male,26.0,Canada,Ontario,Clothing,T-shirt,2.0,107.06,214.12,UPI,2024-07-22,3.0
187,Male,,Germany,Berlin,Clothing,T-shirt,3.0,1678.97,5036.91,Cash,2024-11-27,1.0
188,Male,20.0,India,Karnataka,Electronics,TV,3.0,1131.41,3394.2300000000005,UPI,2025-02-23,
189,,,USA,Texas,Electronics,Phone,,1042.83,,Cash,2025-04-07,3.0
190,Female,57.0,Germany,Berlin,Clothing,T-shirt,1.0,1472.79,1472.79,Cash,2024-09-18,
191,Female,,Australia,NSW,Books,Novel,,565.72,,Cash,2025-03-18,
192,Male,50.0,Canada,Ontario,Books,Novel,,1230.66,,UPI,2024-12-05,3.0
193,Female,25.0,Australia,NSW,Clothing,T-shirt,,597.73,,UPI,2025-02-26,2.0
194,Male,,USA,NY,Clothing,T-shirt,2.0,644.73,1289.46,UPI,2025-03-12,2.0
195,,,India,Telangana,Books,Novel,,1411.21,,Cash,2025-01-04,1.0
196,Male,26.0,Australia,NSW,Books,Novel,3.0,1609.08,4827.24,UPI,2024-07-07,5.0
197,,,USA,NY,Clothing,T-shirt,3.0,570.82,1712.46,Card,2024-12-25,1.0
198,Male,58.0,Canada,Ontario,Electronics,Phone,3.0,963.28,2889.84,Card,2024-09-02,4.0
199,Male,,Australia,NSW,Books,Novel,,492.96,,Card,2025-06-08,2.0
200,Female,51.0,USA,NY,Electronics,TV,,566.53,,Cash,2025-03-18,1.0
